省内频道,#genre#
珠江频道,http://nclive.grtn.cn/zjpd/sd/live.m3u8
公共频道,http://nclive.grtn.cn/ggpd/sd/live.m3u8
新闻频道,http://nclive.grtn.cn/xwpd/sd/live.m3u8
房产频道,http://szlive.grtn.cn/fcpd/sd/live.m3u8
国际频道,http://nclive.grtn.cn/gjpd/sd/live.m3u8
移动频道,http://szlive.grtn.cn/ydpd/sd/live.m3u8
少儿频道,http://nclive.grtn.cn/tvs5/sd/live.m3u8
嘉佳卡通,http://nclive.grtn.cn/jjkt/sd/live.m3u8
南方卫视,http://nclive.grtn.cn/tvs2/sd/live.m3u8
现代教育,http://szlive.grtn.cn/jypd/sd/live.m3u8
体育频道,http://nclive.grtn.cn/typd/sd/live.m3u8
经济科教频道,http://nclive.grtn.cn/tvs1hd/hd/live.m3u8
影视频道,http://nclive.grtn.cn/tvs4/sd/live.m3u8
央视频道,#genre#
CCTV-1综合,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV-2财经,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV-3综艺,http://183.207.249.14/PLTV/3/224/3221225588/index.m3u8
CCTV-4中文国际,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8
CCTV-5体育,http://223.110.243.172/PLTV/3/224/3221227166/index.m3u8
CCTV-5+体育赛事,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8
CCTV-6电影,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV-7国防军事,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
CCTV-8电视剧,http://223.110.243.171/PLTV/3/224/3221227204/index.m3u8
CCTV-9纪录,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
CCTV-10科教,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8
CCTV-11戏曲,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8
CCTV-12社会与法,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8
CCTV-13新闻,http://112.50.243.8/PLTV/88888888/224/3221225817/1.m3u8
CCTV-14少儿,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
CCTV-15音乐,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8
CCTV-17农村农业,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
港台,#genre#
翡翠台,http://hk.tv0668.com/dl/hk520.php?id=1
明珠台,http://hk.tv0668.com/dl/hk520.php?id=13
无线新闻,http://hk.tv0668.com/dl/hk520.php?id=9
无线财经,http://hk.tv0668.com/dl/hk520.php?id=10
TVB J2,http://hk.tv0668.com/dl/hk520.php?id=12







